city,county,district,grades,number_alt_schools,number_elementary_schools,number_high_schools,number_middle_schools,rank,rank_2016,rank_change,rank_score_2017,sd_rating
Yorktown Heights,Westchester,Yorktown Central School District,K-12,0,3,1,1,85th,82,3,0.867,4
Schenectady,Schenectady,Niskayuna Central School District,K-12,0,5,1,2,86th,62,24,0.866,4
Delmar,Albany,Bethlehem Central School District,K-12,0,5,1,1,87th,79,8,0.865,4
East Greenbush,Rensselaer,East Greenbush Central School District,K-12,1,4,1,1,88th,63,25,0.863,4
Saratoga Springs,Saratoga,Saratoga Springs City School District,K-12,0,6,1,1,89th,84,5,0.86,4
Yonkers,Westchester,Charter School Of Educational Excellence,K-8,0,1,0,0,90th,73,17,0.86,4
Bronx,Bronx,Icahn Charter School 3,K-8,0,1,0,0,91st,192,101,0.86,4
Marcellus,Onondaga,Marcellus Central School District,K-12,0,2,1,0,92nd,64,28,0.857,4
Monroe,Orange,Greenwood Lake Union Free School District,K-8,0,2,0,0,93rd,179,86,0.856,4
Brooklyn,Kings,Imagine Me Leadership Charter School,K-5,0,1,0,0,94th,178,84,0.855,4
Cornwall On Hudson,Orange,Cornwall Central School District,K-12,0,3,1,1,95th,83,12,0.853,4
Bronx,Bronx,Bronx Charter School For Excellence,K-8,0,1,0,0,96th,41,55,0.853,4
Garrison,Putnam,Garrison Union Free School District,K-8,0,1,0,0,97th,158,61,0.852,4
Youngstown,Niagara,Lewiston-Porter Central School District,"PK, KG-12",0,2,1,1,98th,75,23,0.852,4
North Merrick,Nassau,Bellmore-Merrick Central High School District,7-12,1,0,3,1,99th,119,20,0.851,4
Clifton Park,Saratoga,Shenendehowa Central School District,K-12,0,8,1,3,100th,107,7,0.85,4
Woodmere,Nassau,Hewlett-Woodmere Union Free School District,"PK, KG-12",0,4,1,0,101st,105,4,0.85,4
Eastchester,Westchester,Tuckahoe Union Free School District,"PK, KG-12",0,1,1,1,102nd,109,7,0.849,4
Scotia,Schenectady,Burnt Hills-Ballston Lake Central School District,K-12,0,3,1,1,103rd,117,14,0.848,4
Brooklyn,Kings,Canarsie Ascend Charter School,K-4,0,1,0,0,104th,,(n/a),0.848,4
Cold Spring,Putnam,Haldane Central School District,K-12,0,1,1,0,105th,123,18,0.847,4
Levittown,Nassau,Levittown Union Free School District,K-12,0,6,2,2,106th,112,6,0.846,4
Nanuet,Rockland,Nanuet Union Free School District,K-12,0,2,1,2,107th,74,33,0.846,4
Hauppauge,Suffolk,Hauppauge Union Free School District,K-12,0,3,1,1,108th,143,35,0.845,4
