ownertype,borough,schooldist,zipcode,address,xcoord,ycoord,buildingclassatpresent,saleprice,saledate
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,885000,2017-11-13
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,599000,2018-03-23
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,544000,2018-05-16
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,800000,2017-07-26
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,475000,2017-06-08
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,480000,2017-08-09
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,1190000,2018-04-25
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,427500,2018-03-22
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,987000,2017-07-11
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,599000,2017-09-19
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,0,2018-02-26
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,575000,2017-11-14
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,567700,2017-10-10
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,900000,2017-08-17
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,1495000,2018-03-22
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,999000,2017-08-10
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,550000,2017-12-21
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,350000,2017-06-15
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,895000,2018-01-18
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,1580000,2017-07-27
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,875000,2017-10-26
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,960000,2017-06-15
 ,MN,2,10010,119 EAST 26 STREET,988709,209564,B3,3700000,2017-08-14
 ,MN,2,10010,119 EAST 26 STREET,988709,209564,B3,0,2018-01-19
 ,MN,2,10010,50 LEXINGTON AVENUE,988591,209074,D4,1860000,2017-06-13
 ,MN,2,10010,267 3 AVENUE,988811,208033,D4,31028,2017-06-20
 ,MN,2,10010,50 LEXINGTON AVENUE,988591,209074,D4,599000,2017-10-05
 ,MN,2,10010,50 LEXINGTON AVENUE,988591,209074,D4,980000,2017-11-06
P,MN,2,10003,230 3 AVENUE,988409,207736,D4,835000,2018-03-07
P,MN,2,10003,230 3 AVENUE,988409,207736,D4,775000,2017-12-15
P,MN,2,10003,230 3 AVENUE,988409,207736,D4,2150000,2017-08-09
 ,MN,2,10010,50 LEXINGTON AVENUE,988591,209074,D4,970000,2017-08-10
 ,MN,2,10010,50 LEXINGTON AVENUE,988591,209074,D4,1120000,2018-05-17
 ,MN,2,10010,267 3 AVENUE,988811,208033,D4,665000,2017-08-22
P,MN,2,10003,230 3 AVENUE,988409,207736,D4,1050000,2017-09-22
P,MN,2,10003,230 3 AVENUE,988409,207736,D4,665000,2017-10-19
P,MN,2,10003,230 3 AVENUE,988409,207736,D4,985000,2018-05-17
 ,MN,2,10010,50 LEXINGTON AVENUE,988591,209074,D4,650000,2018-03-22
 ,MN,2,10010,267 3 AVENUE,988811,208033,D4,899000,2017-10-25
 ,MN,2,10010,267 3 AVENUE,988811,208033,D4,1429900,2017-07-18
 ,MN,2,10010,267 3 AVENUE,988811,208033,D4,2430000,2017-08-01
 ,MN,2,10010,50 LEXINGTON AVENUE,988591,209074,D4,1425000,2018-02-20
 ,MN,2,10010,267 3 AVENUE,988811,208033,D4,949000,2017-12-19
 ,MN,2,10010,222 EAST 24 STREET,989327,208455,D4,1400000,2018-03-15
 ,MN,2,10010,50 LEXINGTON AVENUE,988591,209074,D4,1180000,2017-12-13
 ,MN,2,10010,267 3 AVENUE,988811,208033,D4,1450000,2017-09-12
P,MN,2,10003,230 3 AVENUE,988409,207736,D4,1150000,2017-07-19
 ,MN,2,10010,267 3 AVENUE,988811,208033,D4,0,2017-07-13
P,MN,2,10003,230 3 AVENUE,988409,207736,D4,1050000,2018-02-09
 ,MN,2,10010,267 3 AVENUE,988811,208033,D4,656000,2018-03-27
P,MN,2,10003,230 3 AVENUE,988409,207736,D4,1060000,2017-09-27
P,MN,2,10003,230 3 AVENUE,988409,207736,D4,650000,2017-07-24
 ,MN,2,10010,267 3 AVENUE,988811,208033,D4,1295000,2017-07-10
 ,MN,2,10010,267 3 AVENUE,988811,208033,D4,675000,2017-06-28
 ,MN,2,10010,267 3 AVENUE,988811,208033,D4,625000,2018-02-23
P,MN,2,10003,230 3 AVENUE,988409,207736,D4,0,2018-04-24
P,MN,2,10003,230 3 AVENUE,988409,207736,D4,0,2017-12-14
P,MN,2,10003,230 3 AVENUE,988409,207736,D4,2775000,2017-09-19
 ,MN,2,10010,267 3 AVENUE,988811,208033,D4,550000,2017-06-02
 ,MN,2,10010,50 LEXINGTON AVENUE,988591,209074,D4,595000,2018-03-30
 ,MN,2,10010,50 LEXINGTON AVENUE,988591,209074,D4,625000,2017-06-21
 ,MN,2,10010,50 LEXINGTON AVENUE,988591,209074,D4,1225000,2017-12-21
 ,MN,2,10010,50 LEXINGTON AVENUE,988591,209074,D4,0,2017-12-14
 ,MN,2,10010,50 LEXINGTON AVENUE,988591,209074,D4,1227500,2017-08-24
 ,MN,2,10010,50 LEXINGTON AVENUE,988591,209074,D4,665000,2017-10-03
 ,MN,2,10010,50 LEXINGTON AVENUE,988591,209074,D4,1130000,2018-04-26
 ,MN,2,10011,64 WEST 11 STREET,984921,207006,C6,2125000,2017-07-25
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,635000,2018-04-26
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,665000,2018-03-27
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,685000,2018-03-23
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,712500,2017-11-29
 ,MN,2,10003,20 UNIVERSITY PLACE,985636,205992,D4,975000,2017-12-04
